dec,ra,fil,Object
-28.439777777777778,331.6118333333333,g,DESIRT 330 20
-28.439944444444446,331.6129583333333,i,DESIRT 330 20
-28.43921,331.61218333333335,g,DESIRT 330 20
-28.43921,331.61218333333335,i,DESIRT 330 20
