dec,fil,ra,Object
-27.65362,g,340.8586333333333,DESIRT 330 20
-29.1286,g,341.83257083333336,DESIRT 330 20
-15.53527,g,339.5322583333333,DESIRT 330 20
-13.459999999999999,g,341.3632666666667,DESIRT 330 20
-16.84752,g,342.1666208333333,DESIRT 330 20
-16.84752,i,342.1666208333333,DESIRT 330 20
-13.459999999999999,i,341.3632666666667,DESIRT 330 20
-27.65362,i,340.8586333333333,DESIRT 330 20
-15.53527,i,339.5322583333333,DESIRT 330 20
-29.1286,i,341.83257083333336,DESIRT 330 20
-27.653166666666664,g,340.8562083333333,DESIRT 330 20
-27.652666666666665,i,340.8572083333333,DESIRT 330 20
-29.127194444444445,g,341.83054166666665,DESIRT 330 20
-13.460388888888888,i,341.3625833333333,DESIRT 330 20
-16.847027777777775,g,342.16529166666663,DESIRT 330 20
-16.84772222222222,i,342.16629166666667,DESIRT 330 20
-15.534,g,339.531125,DESIRT 330 20
-13.459499999999998,g,341.36224999999996,DESIRT 330 20
-15.534777777777778,i,339.53116666666665,DESIRT 330 20
-29.126444444444445,i,341.83141666666666,DESIRT 330 20
