dec,fil,ra,Object
-34.270179999999996,g,339.46621666666664,S230922g 86
-32.75529,g,338.3330083333333,S230922g 86
-32.558659999999996,g,340.22667083333334,S230922g 86
-30.842119999999998,g,341.0114416666666,S230922g 86
-32.922309999999996,g,336.42437916666665,S230922g 86
-30.604580000000002,g,342.8642708333333,S230922g 86
-31.05309,g,339.148575,S230922g 86
-28.88279,g,343.67368333333326,S230922g 86
-31.39226,g,335.3839791666667,S230922g 86
-30.894,g,336.3182416666666,S230922g 86
-31.51945,g,333.48232499999995,S230922g 86
-29.1286,g,341.83257083333336,S230922g 86
-29.34986,g,339.9874333333333,S230922g 86
-29.71671,g,336.2752791666666,S230922g 86
-29.546560000000003,g,338.13534166666665,S230922g 86
-29.86129,g,334.4043166666666,S230922g 86
-29.978289999999998,g,332.522475,S230922g 86
-27.18004,g,344.54054999999994,S230922g 86
-27.42709,g,342.69709583333326,S230922g 86
-27.65362,g,340.8586333333333,S230922g 86
-27.859630000000003,g,339.0201916666667,S230922g 86
-28.19901,g,335.33147916666667,S230922g 86
-27.701,g,337.0459958333333,S230922g 86
-28.33239,g,333.47624999999994,S230922g 86
-28.43921,g,331.61218333333335,S230922g 86
-26.182660000000002,g,339.93334583333325,S230922g 86
-25.97339,g,341.7681458333333,S230922g 86
-26.37142,g,338.1015583333333,S230922g 86
-26.53866,g,336.26884583333333,S230922g 86
-26.68437,g,334.43422499999997,S230922g 86
-26.80556,g,332.59270416666664,S230922g 86
-23.87256,g,346.44149999999996,S230922g 86
-24.0981,g,344.56824166666655,S230922g 86
-24.31613,g,342.71500416666663,S230922g 86
-24.52166,g,340.8747749999999,S230922g 86
-24.71269,g,339.0456,S230922g 86
-24.88522,g,337.22044583333326,S230922g 86
-25.17077,g,333.57444166666664,S230922g 86
-25.281779999999998,g,331.74659999999994,S230922g 86
-24.68,g,334.48425,S230922g 86
-22.8836,g,341.8445083333333,S230922g 86
-22.48152,g,345.55880833333333,S230922g 86
-22.68581,g,343.69214999999997,S230922g 86
-23.06989,g,340.01089583333334,S230922g 86
-23.2427,g,338.1883208333333,S230922g 86
-23.538860000000003,g,334.5594,S230922g 86
-23.400019999999998,g,336.3718208333333,S230922g 86
-23.6592,g,332.7470708333333,S230922g 86
-21.0844,g,344.69262083333325,S230922g 86
-21.26945,g,342.83554583333336,S230922g 86
-21.44802,g,340.99648333333323,S230922g 86
-19.51086,g,345.705375,S230922g 86
-21.913809999999998,g,335.5486041666666,S230922g 86
-21.61609,g,339.1704583333333,S230922g 86
-21.77169,g,337.35550416666666,S230922g 86
-22.14764,g,331.94710416666663,S230922g 86
-22.03947,g,333.74679166666664,S230922g 86
-20.00737,g,340.1638791666666,S230922g 86
-19.84703,g,341.9943583333333,S230922g 86
-19.68019,g,343.8398541666666,S230922g 86
-18.2689,g,342.9985333333333,S230922g 86
-20.42659,g,334.7467666666666,S230922g 86
-20.298650000000002,g,336.543075,S230922g 86
-20.15925,g,338.34845833333327,S230922g 86
-18.82157,g,335.74702499999995,S230922g 86
-18.11578,g,344.8504791666667,S230922g 86
-20.539070000000002,g,332.9565458333333,S230922g 86
-18.69634,g,337.54082916666664,S230922g 86
-18.56166,g,339.34569166666665,S230922g 86
-18.41852,g,341.16459166666664,S230922g 86
-17.10789,g,338.53787916666664,S230922g 86
-16.71162,g,344.00502083333333,S230922g 86
-18.93534,g,333.9622958333333,S230922g 86
-14.772,g,344.005275,S230922g 86
-17.33943,g,334.9623291666666,S230922g 86
-17.228379999999998,g,336.7445708333333,S230922g 86
-15.647039999999999,g,337.73845416666666,S230922g 86
-14.898,g,342.1852666666667,S230922g 86
-16.980929999999997,g,340.3442416666666,S230922g 86
-16.84752,g,342.1666208333333,S230922g 86
-15.53527,g,339.5322583333333,S230922g 86
-13.459999999999999,g,341.3632666666667,S230922g 86
-13.568,g,339.57127499999996,S230922g 86
-13.671999999999999,g,337.79427083333326,S230922g 86
-15.75236,g,335.95769999999993,S230922g 86
-32.75529,i,338.3330083333333,S230922g
-32.922309999999996,i,336.42437916666665,S230922g
-31.39226,i,335.3839791666667,S230922g
-31.51945,i,333.48232499999995,S230922g
-32.558659999999996,i,340.22667083333334,S230922g
-30.894,i,336.3182416666666,S230922g
-31.05309,i,339.148575,S230922g
-29.86129,i,334.4043166666666,S230922g
-29.978289999999998,i,332.522475,S230922g
-30.842119999999998,i,341.0114416666666,S230922g
-29.1286,i,341.83257083333336,S230922g
-28.43921,i,331.61218333333335,S230922g
-29.71671,i,336.2752791666666,S230922g
-29.546560000000003,i,338.13534166666665,S230922g
-29.34986,i,339.9874333333333,S230922g
-27.859630000000003,i,339.0201916666667,S230922g
-28.19901,i,335.33147916666667,S230922g
-27.701,i,337.0459958333333,S230922g
-26.80556,i,332.59270416666664,S230922g
-27.42709,i,342.69709583333326,S230922g
-26.37142,i,338.1015583333333,S230922g
-27.65362,i,340.8586333333333,S230922g
-26.53866,i,336.26884583333333,S230922g
-26.68437,i,334.43422499999997,S230922g
-25.281779999999998,i,331.74659999999994,S230922g
-25.97339,i,341.7681458333333,S230922g
-26.182660000000002,i,339.93334583333325,S230922g
-24.88522,i,337.22044583333326,S230922g
-25.17077,i,333.57444166666664,S230922g
-24.71269,i,339.0456,S230922g
-24.52166,i,340.8747749999999,S230922g
-24.68,i,334.48425,S230922g
-24.31613,i,342.71500416666663,S230922g
-23.538860000000003,i,334.5594,S230922g
-23.400019999999998,i,336.3718208333333,S230922g
-23.6592,i,332.7470708333333,S230922g
-24.0981,i,344.56824166666655,S230922g
