dec,fil,ra,Object
-31.39226,i,335.3839791666667,DESIRT 330 20
-32.75529,i,338.3330083333333,DESIRT 330 20
-32.922309999999996,i,336.42437916666665,DESIRT 330 20
-32.558659999999996,i,340.22667083333334,DESIRT 330 20
-31.51945,i,333.48232499999995,DESIRT 330 20
-29.34986,i,339.9874333333333,DESIRT 330 20
-29.1286,i,341.83257083333336,DESIRT 330 20
-29.546560000000003,i,338.13534166666665,DESIRT 330 20
-28.43921,i,331.61218333333335,DESIRT 330 20
-30.894,i,336.3182416666666,DESIRT 330 20
-30.842119999999998,i,341.0114416666666,DESIRT 330 20
-31.05309,i,339.148575,DESIRT 330 20
-29.978289999999998,i,332.522475,DESIRT 330 20
-29.71671,i,336.2752791666666,DESIRT 330 20
-29.86129,i,334.4043166666666,DESIRT 330 20
-27.701,i,337.0459958333333,DESIRT 330 20
-27.859630000000003,i,339.0201916666667,DESIRT 330 20
-28.19901,i,335.33147916666667,DESIRT 330 20
-27.65362,i,340.8586333333333,DESIRT 330 20
-26.68437,i,334.43422499999997,DESIRT 330 20
-26.80556,i,332.59270416666664,DESIRT 330 20
-27.42709,i,342.69709583333326,DESIRT 330 20
-26.53866,i,336.26884583333333,DESIRT 330 20
-25.97339,i,341.7681458333333,DESIRT 330 20
-24.88522,i,337.22044583333326,DESIRT 330 20
-25.281779999999998,i,331.74659999999994,DESIRT 330 20
-25.17077,i,333.57444166666664,DESIRT 330 20
-24.68,i,334.48425,DESIRT 330 20
-24.71269,i,339.0456,DESIRT 330 20
-24.52166,i,340.8747749999999,DESIRT 330 20
-24.31613,i,342.71500416666663,DESIRT 330 20
-24.0981,i,344.56824166666655,DESIRT 330 20
-26.182660000000002,i,339.93334583333325,DESIRT 330 20
-26.37142,i,338.1015583333333,DESIRT 330 20
-21.913809999999998,i,335.5486041666666,DESIRT 330 20
-22.8836,i,341.8445083333333,DESIRT 330 20
-22.68581,i,343.69214999999997,DESIRT 330 20
-22.48152,i,345.55880833333333,DESIRT 330 20
-23.06989,i,340.01089583333334,DESIRT 330 20
