dec,fil,ra,Object
-24.71269,i,339.0456,S230922g
-23.06989,i,340.01089583333334,S230922g
-24.88522,i,337.22044583333326,S230922g
-21.77169,i,337.35550416666666,S230922g
-21.61609,i,339.1704583333333,S230922g
-23.2427,i,338.1883208333333,S230922g
-23.400019999999998,i,336.3718208333333,S230922g
-21.913809999999998,i,335.5486041666666,S230922g
-20.00737,i,340.1638791666666,S230922g
-24.52166,i,340.8747749999999,S230922g
-20.15925,i,338.34845833333327,S230922g
-21.44802,i,340.99648333333323,S230922g
-22.8836,i,341.8445083333333,S230922g
-20.298650000000002,i,336.543075,S230922g
-26.182660000000002,i,339.93334583333325,S230922g
-27.859630000000003,i,339.0201916666667,S230922g
-26.37142,i,338.1015583333333,S230922g
-27.65362,i,340.8586333333333,S230922g
-26.53866,i,336.26884583333333,S230922g
-23.2427,g,338.1883208333333,S230922g 86
-21.77169,g,337.35550416666666,S230922g 86
-27.701,i,337.0459958333333,S230922g
-23.06989,g,340.01089583333334,S230922g 86
-24.71269,g,339.0456,S230922g 86
-21.61609,g,339.1704583333333,S230922g 86
-21.44802,g,340.99648333333323,S230922g 86
-20.298650000000002,g,336.543075,S230922g 86
-20.00737,g,340.1638791666666,S230922g 86
-21.913809999999998,g,335.5486041666666,S230922g 86
-20.15925,g,338.34845833333327,S230922g 86
-26.182660000000002,g,339.93334583333325,S230922g 86
-22.8836,g,341.8445083333333,S230922g 86
-24.52166,g,340.8747749999999,S230922g 86
-24.88522,g,337.22044583333326,S230922g 86
-23.400019999999998,g,336.3718208333333,S230922g 86
-26.37142,g,338.1015583333333,S230922g 86
-26.53866,g,336.26884583333333,S230922g 86
-26.539083333333334,g,336.269125,S230922g 86
-24.52211111111111,g,340.87629166666665,S230922g 86
-26.181972222222225,g,339.93362499999995,S230922g 86
-26.37136111111111,g,338.10224999999997,S230922g 86
-20.15994444444444,g,338.3499583333333,S230922g 86
-21.448138888888888,g,340.99845833333325,S230922g 86
-20.007694444444443,g,340.1651666666666,S230922g 86
-22.88336111111111,g,341.84595833333333,S230922g 86
-23.40063888888889,g,336.3722916666666,S230922g 86
-21.914583333333333,g,335.5492083333333,S230922g 86
-20.299277777777778,g,336.5440833333333,S230922g 86
-23.070444444444444,g,340.01145833333334,S230922g 86
-24.713416666666667,g,339.0465,S230922g 86
-24.88525,g,337.2210833333333,S230922g 86
-27.65288888888889,i,340.8596666666666,S230922g
-23.243166666666667,g,338.18929166666663,S230922g 86
-21.77225,g,337.35608333333334,S230922g 86
-21.61711111111111,g,339.17125,S230922g 86
-21.448333333333334,i,340.9980833333333,S230922g
-22.884055555555555,i,341.8458333333333,S230922g
-26.181805555555556,i,339.9350416666666,S230922g
-26.37172222222222,i,338.103,S230922g
-20.299444444444447,i,336.54462499999994,S230922g
-21.914111111111108,i,335.55008333333325,S230922g
-20.15975,i,338.34975,S230922g
-21.617194444444443,i,339.1719166666666,S230922g
-24.713194444444444,i,339.0477916666667,S230922g
-24.885749999999998,i,337.22245833333324,S230922g
-23.244500000000002,i,338.1902083333333,S230922g
-27.700694444444444,i,337.04666666666657,S230922g
-26.539222222222225,i,336.2702083333333,S230922g
-27.859194444444444,i,339.02079166666664,S230922g
-23.400416666666665,i,336.37358333333333,S230922g
-20.007694444444443,i,340.16566666666665,S230922g
-24.52177777777778,i,340.87633333333326,S230922g
-21.772583333333333,i,337.3570833333333,S230922g
-23.07038888888889,i,340.01266666666663,S230922g
