dec,fil,ra,Object
-30.541,g,340.85799166666663,S230922g 3013919
-13.463055555555554,g,341.3622916666666,S230922g 3013919
-14.772,g,344.005275,S230922g 3013919
-15.252,g,337.613025,S230922g 3013919
-20.746000000000002,g,344.4910041666666,S230922g 3013919
-17.748055555555556,g,344.6428333333333,S230922g 3013919
-24.801833333333335,g,333.4596249999999,S230922g 3013919
-14.900722222222223,g,342.1835833333333,S230922g 3013919
-22.162055555555554,g,345.3459583333333,S230922g 3013919
-18.554666666666666,g,333.8623333333333,S230922g 3013919
-31.137666666666668,g,333.3157083333333,S230922g 3013919
-19.32736111111111,g,343.6454166666666,S230922g 3013919
-28.83722222222222,g,341.6833333333333,S230922g 3013919
-17.903,g,342.814375,S230922g 3013919
-16.72847222222222,g,338.401375,S230922g 3013919
-16.845666666666666,g,336.6247083333333,S230922g 3013919
-27.35077777777778,g,340.7139166666666,S230922g 3013919
-21.66713888888889,g,333.6420833333333,S230922g 3013919
-18.445416666666667,g,335.6347083333333,S230922g 3013919
-26.32111111111111,g,334.3099583333333,S230922g 3013919
-27.844055555555553,g,335.1981666666666,S230922g 3013919
-19.652694444444442,g,340.01391666666666,S230922g 3013919
-23.17477777777778,g,334.4472916666666,S230922g 3013919
-27.702527777777778,g,337.0444166666666,S230922g 3013919
-19.79838888888889,g,338.2157083333333,S230922g 3013919
-24.683222222222224,g,335.27979166666665,S230922g 3013919
-21.55077777777778,g,335.436,S230922g 3013919
-24.382361111111113,g,338.9099166666666,S230922g 3013919
-21.106,g,340.8397083333333,S230922g 3013919
-21.766555555555556,g,331.84899999999993,S230922g 3013919
-13.6745,g,337.79387499999996,S230922g 3013919
-13.570638888888888,g,339.57062499999995,S230922g 3013919
-16.954194444444443,g,334.85841666666664,S230922g 3013919
-28.050166666666666,g,331.4754166666666,S230922g 3013919
-32.56875,g,336.24299999999994,S230922g 3013919
-23.794333333333334,g,344.3782499999999,S230922g 3013919
-31.03163888888889,g,335.22033333333326,S230922g 3013919
-29.494444444444447,g,334.2572916666667,S230922g 3013919
-29.59197222222222,g,332.37233333333324,S230922g 3013919
-27.138305555555554,g,342.5435416666666,S230922g 3013919
-30.896833333333333,g,337.1127916666666,S230922g 3013919
-20.159333333333333,g,332.8590416666666,S230922g 3013919
-23.282055555555555,g,332.6410833333333,S230922g 3013919
-26.428305555555557,g,332.47033333333326,S230922g 3013919
-24.898194444444442,g,331.63375,S230922g 3013919
-29.04030555555556,g,339.84012499999994,S230922g 3013919
-29.370361111111112,g,336.1298749999999,S230922g 3013919
-18.192944444444446,g,339.20237499999996,S230922g 3013919
-20.05441666666667,g,334.64104166666664,S230922g 3013919
-25.670416666666668,g,341.6163333333333,S230922g 3013919
-29.217138888888886,g,337.99125,S230922g 3013919
-19.933111111111113,g,336.42479166666664,S230922g 3013919
-20.932166666666667,g,342.65874999999994,S230922g 3013919
-18.051861111111112,g,341.00249999999994,S230922g 3013919
-26.19238888888889,g,336.14383333333325,S230922g 3013919
-22.89377777777778,g,338.057125,S230922g 3013919
-24.536472222222223,g,337.0944999999999,S230922g 3013919
-24.202388888888887,g,340.7270416666666,S230922g 3013919
-21.40994444444444,g,337.23124999999993,S230922g 3013919
-16.328777777777777,g,343.8089166666667,S230922g 3013919
-32.421277777777775,g,338.1537916666667,S230922g 3013919
-30.733361111111112,g,338.9917499999999,S230922g 3013919
-22.366083333333336,g,343.50749999999994,S230922g 3013919
-24.007,g,342.54616666666664,S230922g 3013919
-16.602,g,340.1895416666666,S230922g 3013919
-16.467888888888886,g,341.99199999999996,S230922g 3013919
-19.49463888888889,g,341.8225833333333,S230922g 3013919
-25.865583333333333,g,339.7933749999999,S230922g 3013919
-22.55777777777778,g,341.68266666666665,S230922g 3013919
-18.324277777777777,g,337.4151666666666,S230922g 3013919
-21.267944444444442,g,339.03116666666665,S230922g 3013919
-23.046444444444447,g,336.2525416666667,S230922g 3013919
-26.039361111111113,g,337.97012499999994,S230922g 3013919
-22.735666666666667,g,339.8670833333333,S230922g 3013919
-21.415277777777778,i,337.23162499999995,S230922g 3013919
-21.415,g,337.2320083333333,S230922g 3013919
-24.540000000000003,g,337.0970083333333,S230922g 3013919
-22.898,g,338.0590041666667,S230922g 3013919
-21.104000000000003,g,340.8400041666666,S230922g 3013919
-26.037000000000003,g,337.97099999999995,S230922g 3013919
-18.322,g,337.4160166666667,S230922g 3013919
-21.415,i,337.2320083333333,S230922g 3013919
-23.044,g,336.25400833333333,S230922g 3013919
-22.734,g,339.8680041666666,S230922g 3013919
-21.266,g,339.0320083333333,S230922g 3013919
-24.201,g,340.72799999999995,S230922g 3013919
-26.19,g,336.1450041666666,S230922g 3013919
-19.796000000000003,g,338.2160083333333,S230922g 3013919
-24.38,g,338.9110041666666,S230922g 3013919
-24.68,g,335.28100416666666,S230922g 3013919
-19.65,g,340.01500416666664,S230922g 3013919
-23.172,g,334.44899999999996,S230922g 3013919
-21.548000000000002,g,335.43700416666667,S230922g 3013919
-20.93,g,342.65900833333325,S230922g 3013919
-27.842,g,335.19999166666656,S230922g 3013919
-19.931,g,336.4260166666666,S230922g 3013919
-19.492,g,341.8240041666666,S230922g 3013919
