dec,fil,ra,Object
-22.03947,g,333.74679166666664,DESIRT 330 20
-25.281779999999998,g,331.74659999999994,DESIRT 330 20
-22.03947,i,333.74679166666664,DESIRT 330 20
-25.281779999999998,i,331.74659999999994,DESIRT 330 20
-28.43921,g,331.61218333333335,DESIRT 330 20
-28.43921,i,331.61218333333335,DESIRT 330 20
-22.03325,g,333.75137499999994,DESIRT 330 20
-28.430555555555557,g,331.61699999999996,DESIRT 330 20
-28.430500000000002,i,331.617125,DESIRT 330 20
-25.27433333333333,g,331.751625,DESIRT 330 20
-22.033333333333335,i,333.7514583333333,DESIRT 330 20
-25.274416666666667,i,331.75170833333334,DESIRT 330 20
