dec,fil,ra,Object
-34.27144444444444,i,339.463375,S230922g
-19.511444444444443,i,345.70441666666665,S230922g
-15.646749999999999,i,337.7362916666666,S230922g
-32.55777777777777,i,340.22237499999994,S230922g
-25.17002777777778,i,333.57237499999997,S230922g
-14.897472222222222,i,342.18429166666664,S230922g
-32.752916666666664,i,338.33208333333334,S230922g
-19.678694444444446,i,343.83962499999996,S230922g
-29.860277777777778,i,334.4029583333333,S230922g
-31.391027777777776,i,335.3816666666666,S230922g
-29.12697222222222,i,341.83033333333333,S230922g
-22.68563888888889,i,343.6903749999999,S230922g
-25.973499999999998,i,341.76629166666663,S230922g
-26.18202777777778,i,339.93199999999996,S230922g
-20.42627777777778,i,334.7455416666666,S230922g
-18.417611111111114,i,341.16429166666666,S230922g
-27.699305555555554,i,337.04629166666655,S230922g
-20.157944444444443,i,338.34983333333327,S230922g
-21.91297222222222,i,335.5485833333333,S230922g
-21.770944444444442,i,337.355375,S230922g
-23.242944444444447,i,338.189375,S230922g
-24.09986111111111,g,344.5721249999999,S230922g 86
-14.9,g,342.1875416666667,S230922g 86
-28.440055555555556,g,331.6137916666666,S230922g 86
-34.27044444444444,g,339.46624999999995,S230922g 86
-32.755805555555554,g,338.33529166666665,S230922g 86
-32.92352777777778,g,336.4261666666667,S230922g 86
-25.97411111111111,g,341.76849999999996,S230922g 86
-30.8435,g,341.0148333333333,S230922g 86
-22.149305555555554,g,331.94899999999996,S230922g 86
-31.393027777777778,g,335.38729166666667,S230922g 86
-31.52025,g,333.48645833333325,S230922g 86
-29.97883333333333,g,332.524875,S230922g 86
-26.806833333333334,g,332.593375,S230922g 86
-24.31661111111111,g,342.7175,S230922g 86
-27.860222222222223,g,339.0215,S230922g 86
-29.71636111111111,g,336.2764583333333,S230922g 86
-27.654083333333332,g,340.85970833333323,S230922g 86
-18.419416666666667,g,341.1660833333333,S230922g 86
-26.68616666666667,g,334.43466666666666,S230922g 86
-20.009611111111113,g,340.1663333333333,S230922g 86
-24.88536111111111,g,337.21983333333327,S230922g 86
-21.44825,g,340.9964166666666,S230922g 86
-24.52175,g,340.87570833333325,S230922g 86
-23.243277777777777,g,338.18766666666664,S230922g 86
-21.771694444444442,g,337.355375,S230922g 86
-23.241472222222225,g,338.18862499999994,S230922g 86
-30.605694444444445,g,342.86583333333334,S230922g 86
-21.086388888888887,g,344.69587499999994,S230922g 86
-13.673277777777777,g,337.79729166666664,S230922g 86
-13.461833333333333,g,341.36562499999997,S230922g 86
-29.128805555555555,g,341.83458333333334,S230922g 86
-16.98211111111111,g,340.3479166666666,S230922g 86
-25.28355555555556,g,331.74766666666665,S230922g 86
-22.88513888888889,g,341.84570833333333,S230922g 86
-21.91436111111111,g,335.5489166666666,S230922g 86
-23.541027777777778,g,334.56083333333333,S230922g 86
-27.70325,g,337.0474583333333,S230922g 86
-26.372083333333332,g,338.10141666666664,S230922g 86
-26.539805555555557,g,336.26899999999995,S230922g 86
-16.713416666666667,g,344.00724999999994,S230922g 86
-15.754,g,335.95949999999993,S230922g 86
-30.89511111111111,g,336.3200833333333,S230922g 86
-27.428222222222225,g,342.6998333333333,S230922g 86
-31.052694444444445,g,339.149875,S230922g 86
-22.686083333333332,g,343.69483333333324,S230922g 86
-16.84847222222222,g,342.16791666666666,S230922g 86
-29.35075,g,339.9892083333333,S230922g 86
-26.182555555555556,g,339.9339583333333,S230922g 86
-18.823083333333333,g,335.74829166666666,S230922g 86
-19.848138888888887,g,341.9952916666667,S230922g 86
-21.61613888888889,g,339.17041666666665,S230922g 86
-18.697555555555557,g,337.5405416666666,S230922g 86
-23.070194444444443,g,340.011625,S230922g 86
-28.88486111111111,g,343.67774999999995,S230922g 86
-18.117944444444444,g,344.85325,S230922g 86
-19.682583333333334,g,343.84320833333334,S230922g 86
-32.559444444444445,g,340.227875,S230922g 86
-17.340277777777775,g,334.96466666666663,S230922g 86
-15.649027777777777,g,337.7410416666666,S230922g 86
-14.773722222222222,g,344.0082083333333,S230922g 86
-19.512722222222223,g,345.70687499999997,S230922g 86
