dec,fil,ra,Object
-22.03947,g,333.74679166666664,DESIRT 330 20
-28.43921,g,331.61218333333335,DESIRT 330 20
-25.281779999999998,g,331.74659999999994,DESIRT 330 20
-28.43921,i,331.61218333333335,DESIRT 330 20
-25.281779999999998,i,331.74659999999994,DESIRT 330 20
-22.03947,i,333.74679166666664,DESIRT 330 20
-28.43888888888889,i,331.6102916666667,DESIRT 330 20
-25.280083333333334,i,331.74625,DESIRT 330 20
-22.037166666666668,i,333.7472916666666,DESIRT 330 20
-28.43947222222222,g,331.61049999999994,DESIRT 330 20
-25.2805,g,331.74583333333334,DESIRT 330 20
-22.037277777777778,g,333.7467083333333,DESIRT 330 20
